Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15,Cluster
pmf0451,521.0,273.0,4.49,520.0,[M+H]+,-,Naringenin O-malonylhexoside,Flavonoids,-0.4419361807078693,-0.4317771064277517,-0.437155439870167,-0.4319903526309071,-0.4452581665452255,-0.4259578125475431,-0.4335384319995368,-0.4025887964790371,-0.4424828206799698,-0.4305687112765377,-0.4270460601329675,-0.442312978571262,-0.4456223835116767,-0.4439296238282219,-0.4221520912227932,-0.4332295709796273,-0.1785230219540889,2.154163984421165,2.419620909883063,2.542284655060955,6
pmf0455,537.0,289.0,4.13,536.0,[M+H]+,-,Eriodictyol O-malonylhexoside,Flavonoids,-0.4371817243747906,-0.4434918339462313,-0.4259583251525222,-0.4463440816162943,-0.4462366339300933,-0.428497997735455,-0.4278142397323577,-0.3874236776922535,-0.4448788858953715,-0.4036385103371321,-0.4242880020306703,-0.4487461234811751,-0.4478971890804725,-0.4166299123959807,-0.4035408306224039,-0.4053967452022394,-0.2114048317520654,2.51747335860922,1.80734183253532,2.7245543538329704,6
pma0825,503.0,255.0,5.25,502.0,[M+H]+,-,Chrysin O-malonylhexoside,Flavonoids,-0.6079766057783009,-0.7569190292727331,-0.7417975800892082,-0.7726245412218359,-0.7382675304071458,-0.7627724934728073,-0.6490535475332075,-0.6222572613102801,-0.723120408135024,-0.737048058698797,-0.6770372141037378,0.1687626897183895,0.7200922673350291,2.247641038845625,0.7733639261734239,0.2862170700488261,-0.0449657728501097,0.3728637440630826,0.4704214807309862,2.794477825957822,0
pmb3000,503.1,341.1,3.95,504.1,[M-H]-,-,Chrysoeriol O-acetylhexoside,Flavonoids,-0.7559814788413768,0.2815445959313337,-0.5678815307236673,-0.4251530650245902,-0.7559814788413768,3.4563978307626555,-0.5306705509226733,-0.2667731844231452,-0.7559814788413768,1.2569076040855205,-0.4366584097541454,-0.6289230853604454,-0.4574924123725292,-0.5270427395214622,-0.4046300176691674,-0.5262135254868997,-0.348658070336196,0.7345027623111205,0.4598256133622795,1.1988626216661422,7
pmb3002,607.1,299.0,3.68,608.1,[M-H]-,-,Chrysoeriol 7-O-rutinoside,Flavonoids,-1.5872767637001188,0.9667623057405064,-0.4146646481098713,1.1406758564398387,-1.6200950412332222,1.6466061857469867,-0.4640719068312725,1.5833648945835932,-1.6247867545214068,1.8857373179585688,-0.6162462636931882,-0.4640719068312725,-0.1320551282234564,-0.3099212596205007,-0.0470746432226464,-0.1004344826417597,0.1979853600355035,0.1663647144538067,-0.0352169011295101,-0.1715809352005774,7
pme0324,255.058,153.0,6.65,254.0579,[M+H]+,C10028,Chrysin,Flavonoids,-0.4445975059531152,-0.5471530205681135,-0.1638828830648918,-0.7426166442453788,-0.2560722742349779,-0.573413866628558,1.0565553838494424,-0.6027292637307698,-0.3848886349104207,-0.1403863365897573,3.7752440260017583,-0.1590453587905994,0.0282359381141483,0.6529676443941925,0.5465421103597603,0.474670321141702,-0.4086616113440861,-0.66962531369527,-0.7225754722518818,-0.7185672378531823,2
pme0341,299.063,284.0,5.77,300.26,[M-H]-,-,"5,7,3'-Trihydroxy-4'-methoxyflavone (Diosmetin)",Flavonoids,-0.4490587265979247,-0.5089706212275962,-0.5106730523321308,0.2068332569794753,-0.4827273417456406,-0.5074809940111285,-0.5097154348358302,1.0428485315277258,-0.5082569681886864,-0.5054973577687912,-0.51343190273814,-0.4850073834034994,-0.4867174146468936,-0.4128820656265641,-0.423674262807096,-0.4143260920098747,-0.1176926723224364,0.7266827549712964,1.1500104894470924,3.709737257336644,6
pme0363,299.063,284.01,5.75,300.0634,[M-H]-,C04293,Chrysoeriol,Flavonoids,-0.4907611212264265,-0.5176264054853854,-0.5130213653020446,0.1995818295805217,-0.4441293521937918,-0.5095790595171552,-0.5131896558070836,1.0280300884772318,-0.4891853101337883,-0.5091353845493249,-0.5145818772578611,-0.4866609525582028,-0.4885733446609191,-0.4149080008642864,-0.4237815002208902,-0.4129956087615701,-0.1232299573579931,0.7319917909767454,1.1940257229930085,3.697729463869216,6
pme3303,303.0,257.0,4.41,302.043,[M+H]+,C10192,Tricetin,Flavonoids,-0.8351646045026839,1.3832583414449275,-0.3152851681613621,-0.6384489873725758,-0.8444023941894523,2.7242500869752204,0.9675647107501611,-0.740646092593216,-0.8374157029014628,2.1856437216231974,-0.1966536635876729,-0.8396090737462117,-0.7927113745772449,-0.4126486265134585,-0.066835719118211,-0.3547829682871771,-0.1469361529397938,-0.2339417965735822,0.130653281510864,-0.1358878172402652,7
pmf0150,435.13,166.7,4.39,436.136947,[M-H]-,C01604,Phloridzin,Flavonoids,-0.7747012796256514,-0.5110067357295516,-0.7234516755793994,-0.7300221376366112,-0.7327963327274338,-0.068595623877291,-0.7487114519326804,-0.721699552364143,-0.8163142059879926,-0.0510743917247263,-0.8120799082177895,-0.4161000615698257,-0.2058452757390484,-0.0496142890453458,0.1139172110452587,0.0379918717174779,0.6293334568665389,2.398977904275581,2.1332392166283483,2.0485532612242854,6
