Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15,Cluster
pme1894,183.0,83.0,0.62,182.079,[M+H]+,C00794,D-Sorbitol,Others,0.3407348144429416,-0.40849319878334206,-0.18384622561176606,0.017728896261107952,-0.314991485625443,0.904173709316517,0.029871975892004188,0.26059048887902797,1.6084723279084852,1.353467655659669,1.4627553723377331,1.5477569297540055,0.3577351259261965,0.005585816630211713,-0.34534918470268255,-0.6319258639918289,-1.3690107975872168,-1.72358872280938,-1.5353709885304918,-1.3762966453657544,3
pme2237,181.08,101.0,0.75,182.079,[M-H]-,C01697,Dulcitol,Others,-0.9746974556536884,-1.0047695086500785,-0.22128307042995107,0.9516422150231221,-0.5173948566396169,-0.8112022709721648,0.780542603147109,2.5416588102345576,0.52302904587917,-0.3797086369818152,2.6856820525544336,-0.36069756899559147,-0.4223395167084985,-0.45920946674238694,-0.3745238002582996,-0.2575769274945599,-0.4966555097455547,-0.4090893784150699,-0.3445669658557653,-0.44883979329535584,5
pme2529,163.2,101.0,0.73,164.069,[M-H]-,C07326,"1,5-Anhydro-D-glucitol",Others,-0.6571582923259061,-0.2958992235701354,-0.2918303362309714,-0.36652348238562393,-0.6917438347087996,-0.12384341608548835,-0.37146427415460875,-0.31130286849697036,-0.5438107164491961,-0.5002154949581538,-0.9602119276949365,-0.3749518918738921,-0.12849357304453282,-0.20376798881906585,-0.25898860270771956,-0.29153970142103114,0.11796474578482649,1.658329238468322,0.9956818718044786,3.5997697688694066,6
pme2639,303.15,107.0,4.85,302.152,[M+H]+,C18166,Enterodiol,Others,0.7558333635957062,-0.5664708614138401,2.049149469001333,0.14246386582266804,-0.3686508364244573,-0.7423108836266249,2.4568944480454715,-0.07239862508770034,0.23022460154662117,-0.6375076819816861,2.045963961352551,-0.8416987222686336,-0.7088630533144104,-0.7088630533144104,-0.7467705943349201,-0.7040847918412368,-0.649612611047059,-0.45720794906060613,-0.1966334233902113,-0.2794566222585519,8
pma6270,258.2,104.2,0.79,258.2,Protonated,C00670,sn-Glycero-3-phosphocholine,Others,-0.6948088454653037,-0.5433006523468503,-0.47482541915808296,1.8898166886230472,-0.5871535575911001,-0.3039069237184041,-0.48704672061959525,2.632081027388424,-0.7397401008385105,-0.5892922853468648,-0.8315795868213454,0.3100337497010942,1.3434526232848516,1.0109613335231211,1.0954320936247497,-0.1506014803850224,-0.7769431802875258,-0.7302146746993906,-0.7661596789979561,-0.6062044098693398,9
pmb0242,310.0,251.0,3.01,310.0,Protonated,C00933,Sinapoylcholine,Others,0.20015521756416188,1.2619501965065372,1.7007749604296676,-0.9503041392453141,-0.12647810186082203,1.7481131226651727,2.505523718433251,-0.3731099271078028,-0.6140611728865227,-0.11559032454665596,-0.20742635928353545,0.45246762227940307,-0.5430539295332654,-0.22494147931067232,-0.3224580935158124,-0.5884985652793501,-0.9677719211102155,-0.9981630212654096,-0.7991533872273471,-1.0379744157054693,8
pmf0236,104.1,60.1,0.78,104.1,protonated,C00114,Choline,Others,-1.57096041046315,-1.087197386834154,-0.010270732133344538,1.7622960720034355,-0.5457336208829968,-0.7654580476457853,0.05435409926747548,2.911694859060879,-0.942253122120886,-1.1439749172791602,-0.6288226898269084,-0.03335102906220878,0.6729060569610393,0.409790671971986,0.6221294037175381,-0.30569853282280796,-0.037967088447981724,0.06358621803902138,0.3728621968858034,0.20206799961220706,9
pmf0275,146.1181,87.041,0.85,145.1181,[M+H]+,C08201,Acetylcholine,Others,-0.7037338731954164,-1.2216972661403314,-0.4986470785671352,1.2081837951764518,0.5627168291370552,-0.8468176834011939,0.09530971579818172,2.6390218972342283,0.7534952427447588,0.6994413588892429,1.9617585289268806,0.01581871012830534,-0.23441897572046588,-0.0414148139540057,-0.5533368904680102,-0.6941949525150312,-0.9523817389307899,-0.7743218862302667,-0.8464997193785145,-0.5682811995339468,5
pmb0812,127.1,81.2,2.81,126.1,[M+H]+,C02835,Imidazole-4-acetate,Others,-0.7843268238448818,-0.5421497908657651,3.192132474809289,-0.07319384192198265,-0.7843268238448818,-0.7843268238448818,1.6195673468129406,-0.4668269261362584,-0.7843268238448818,-0.7843268238448818,1.4092242405204354,-0.550472366438072,-0.7843268238448818,-0.4187485018408287,-0.06117423584812521,-0.011092543873719137,-0.24647649615342743,0.10109044614895037,0.098085544630486,0.6559955932253688,8
pmb0818,206.1,147.5,2.37,205.1,[M+H]+,C05660,Methoxyindoleacetic acid,Others,-1.0670975388757133,-1.1080151629898165,-0.38903405355629095,-0.8033249977115846,-1.0605214921430897,-1.0714815700307958,-0.14791234002675493,-0.8155028620312582,-0.4031603761671123,0.12511537802032582,2.2754826595882784,-0.5083771238890916,-0.18444593298577555,-0.11624989279560384,-0.009084686782476639,0.15896984082901816,0.25882832825034124,1.2354930466881588,1.7567056395701859,1.8736131370390519,6
