Index,Cluster,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15
pmf0390,5,353.1,191.0,3.15,354.1,[M-H]-,-,4-Caffeoylquinic acid,Hydroxycinnamoyl and derivatives,-1.2030566677982168,-0.2061849133372676,0.01175308490521995,-0.2509400379763498,-1.045635381567706,-0.6809784095084009,1.0527962015099592,-0.35407141214466975,-1.0012694319254853,0.3250389573787956,3.43260130731855,0.6247037049622159,0.30363433255140854,0.7803737037068498,0.19077358346154885,0.27250033280248165,-0.13029578894925858,-0.8804305953999633,-0.6031434101360841,-0.6381691598536267
pmf0395,2,367.0,191.0,3.67,368.0,[M-H]-,C02572,5-O-Feruloylquinic acid,Hydroxycinnamoyl and derivatives,-0.4466344003051442,0.628917895039154,-0.27145024669969414,0.9478349863399985,-0.34241370444633235,0.025442183599710778,0.09548060558428843,4.045823802802483,-0.4393662621746691,-0.23665128231741966,-0.14282622645128726,-0.4153153323610972,-0.43333150506027474,-0.38928218305739565,-0.3845689056030876,-0.40236483169225074,-0.4634832659712454,-0.4671560984398455,-0.46623194366422505,-0.44242328512166895
pmf0396,2,367.0,191.1,3.44,368.0,[M-H]-,-,4-O-Feruloylquinic acid,Hydroxycinnamoyl and derivatives,-0.4447921659384111,0.5996120669889382,-0.2661766043734095,0.8972269227697451,-0.33680182250070445,0.009513646044234634,0.10141039618344931,4.067431562090065,-0.43756171097821905,-0.2176625839953469,-0.14209266763721096,-0.41316475649963563,-0.43378321516031226,-0.38200382802603394,-0.3724876163364909,-0.40094295521208523,-0.46070383166048523,-0.4648881659180932,-0.4638945614622732,-0.43823810837772087
pmf0449,0,515.0,173.0,3.95,516.0,[M-H]-,-,"3,4-Dicaffeoylquinic acids",Hydroxycinnamoyl and derivatives,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4232573660195668,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,-0.4308792626875861,0.08535980700761853,1.7689958568919502,1.72915321879462,3.302937423639169
pma3724,2,369.1,177.1,3.42,368.1,[M+H]+,-,1-O-Feruloyl quinic acid,Hydroxycinnamoyl and derivatives,-0.5953271048042253,0.7228209428936426,-0.08732456796193228,1.7566301555697368,-0.45980088048235424,-0.019971294118253134,0.5779478633053515,3.5484814031091267,-0.5864377434733472,-0.29001979773677805,0.06517341055205829,-0.4862974042491601,-0.5277260217454609,-0.3955611070333357,-0.3745290941632811,-0.4259336210873722,-0.6029456496474866,-0.6113222365256115,-0.6091510465565185,-0.5987062058447977
pma6460,2,337.0,163.1,3.24,338.0,[M-H]-,-,5-O-p-Coumaroylquinic acid,Hydroxycinnamoyl and derivatives,-0.9363112935816456,-0.3489482571555367,-0.7111643867291582,2.5139780471018955,-0.5585677911216457,-0.7448962657581871,-0.17547002214910162,2.5139780471018955,-1.043717879823284,-0.5754337306361602,-0.007881480306465275,1.1138373540715636,-0.12781705018745748,-0.7253531929874004,-0.8035254840705471,-0.6629759881162595,0.7095902323744696,0.2009349136827621,0.016212718999984038,0.3535315092902744
pmb0749,2,369.1,177.2,2.31,368.1,[M+H]+,-,O-Feruloyl quinic acid,Hydroxycinnamoyl and derivatives,-0.2694239720201661,-0.19848207572308388,-0.2215845339070996,-0.18615467708734426,-0.26556138711430105,-0.24505224834698908,-0.23135513875172284,4.3565373772146865,-0.27290303785736375,-0.24167362798015674,-0.20962239152723378,-0.2859700804112477,-0.26990793655919887,-0.2540740778670711,-0.19108563654164012,-0.15894308602474871,-0.21400546659771896,-0.20852662275961248,-0.2043261758170641,-0.22788520432092207
pmb0752,4,369.1,177.1,2.87,368.1,[M+H]+,-,3-O-Feruloyl quinic acid,Hydroxycinnamoyl and derivatives,-0.5578936958390712,2.1167791723542058,-0.13041455346037711,-0.2956837385969486,-0.5578936958390712,2.7299687285146303,0.3963444747841016,-0.45435383612912694,-0.5578936958390712,1.9357422557735096,0.3747368428051151,-0.5520139671825623,-0.5578936958390712,-0.546057268637004,-0.5578936958390712,-0.5578936958390712,-0.5578936958390712,-0.5578936958390712,-0.5578936958390712,-0.5540048476739019
pmb2938,0,353.1,100.9,3.0,354.1,[M-H]-,-,Criptochlorogenic acid,Hydroxycinnamoyl and derivatives,-0.9106178820782421,0.21518616957851663,-0.19656122178776667,-0.2651857870154805,-0.902069909918299,-0.5047697954420606,-0.5035658557012236,1.5527632216485188,-1.0757984145210904,-0.9142297013007534,-0.5276446505179653,0.405408648630776,-0.2182321371228342,-0.48791463907034144,-0.5469076863713587,-0.911942215793163,-0.05931209133233888,1.879030891415369,2.040358816687539,1.932004240012201
pmb3058,1,369.0,191.0,2.06,370.0,[M-H]-,-,Quinic acid O-glucuronic acid,Hydroxycinnamoyl and derivatives,-0.3294019775004737,-0.1532893849277155,4.1551005662158,-0.3107666449553203,-0.34742573073601224,-0.2161024113418325,0.9519144029813995,-0.318729446755163,-0.34742573073601224,-0.3000384023907853,0.2793147396089963,-0.34276793637709657,-0.3409474703460679,-0.34625436507019974,-0.34661984794513145,-0.3397411128217354,-0.33561392177577193,-0.33835156916594467,-0.33607251245534403,-0.3367812435055918
pmb3064,0,499.2,163.2,2.5,500.2,[M-H]-,-,3-O-p-Coumaroyl quinic acid O-hexoside,Hydroxycinnamoyl and derivatives,-0.6739846850053509,-0.40148606379591034,-0.3402788904992257,-0.3756358544569382,-0.6739846850053509,-0.6739846850053509,-0.535533004591817,2.4513906576597266,-0.6739846850053509,-0.6739846850053509,-0.6739846850053509,-0.6739846850053509,-0.6739846850053509,-0.6739846850053509,-0.45862863180837493,-0.16288182891052982,1.1894922807177997,1.3663621340897139,1.9156790825428707,1.417382284100843
